R,F,M,C,cluster
9.97,2,111.65,0.0,1
9.2,3,172.97,0.0,1
14.03,2,51.84,0.0,1
12.17,2,214.34,0.0,1
14.0,2,33.33,0.0,1
16.7,2,41.55,0.0,1
8.53,3,57.89,0.0,1
12.63,2,51.9,0.0,1
14.87,2,59.76,0.0,1
14.07,2,27.98,0.0,1
14.93,2,365.09,0.0,1
12.33,2,98.96,0.0238166,1
15.17,2,72.24,0.0,1
8.83,3,68.84,0.0,1
13.43,2,52.98,0.0,1
12.3,2,25.63,0.0,1
11.07,3,314.56,0.0,1
14.3,2,99.98,0.0,1
8.93,2,39.98,0.0,1
15.07,2,91.96,0.0,1
12.47,2,63.95,0.0,1
16.33,2,33.98,0.0,1
12.73,2,88.9,0.0,1
15.47,2,128.55,0.08689595,1
9.53,2,93.97,0.0,1
12.17,2,65.97,0.0,1
9.37,2,31.98,0.0,1
10.17,4,55.96,0.0,1
14.87,2,41.94,0.0,1
8.73,4,116.36,0.0,1
9.23,2,44.4,0.0,1
11.13,2,37.54,0.0,1
13.4,2,43.98,0.0,1
9.23,2,41.94,0.0,1
9.87,3,37.65,0.0,1
13.67,2,63.26,0.0,1
12.03,2,43.98,0.0,1
13.07,2,25.9,0.0,1
11.73,2,43.98,0.0,1
12.4,2,42.03,0.0,1
16.63,2,206.98,0.0,1
9.7,2,238.9,0.0,1
14.13,2,33.98,0.0,1
14.5,3,48.99,0.0,1
10.4,4,469.96,0.045084925,1
15.6,2,19.98,0.0,1
9.0,2,25.98,0.0,1
16.93,2,119.52,0.0,1
9.93,2,92.98,0.0,1
16.0,3,49.72,0.0,1
9.9,2,64.89,0.0,1
16.3,2,99.57,0.0,1
10.6,2,24.98,0.0,1
10.17,2,36.35,0.0,1
15.4,2,30.98,0.0,1
15.27,2,56.56,0.0,1
8.6,4,159.96,0.0,1
16.0,2,137.29,0.0,1
9.63,3,196.91,0.0,1
13.47,2,91.62,0.0,1
10.23,2,118.97,0.086619,1
10.37,2,274.9,0.0,1
11.43,2,81.4,0.0192569,1
10.17,2,97.08,0.0,1
11.4,2,82.98,0.0,1
8.37,2,189.96,0.0,1
11.13,2,86.96,0.0,1
13.5,2,42.34,0.0,1
9.83,2,61.91,0.0,1
8.47,2,63.36,0.0,1
14.33,2,162.19,0.0,1
11.57,2,72.84,0.0,1
15.87,2,5.98,0.0,1
15.33,2,179.51,0.00783915,1
11.03,2,114.73,0.08329805,1
16.43,2,27.06,0.0,1
8.43,2,65.32,0.0,1
11.0,2,57.95,0.0,1
15.0,2,23.98,0.0,1
9.27,2,49.98,0.0,1
13.97,2,31.98,0.0,1
14.87,2,195.75,0.0,1
16.67,2,309.98,0.0,1
9.7,2,135.0,0.0,1
15.27,2,38.79,0.0,1
11.43,2,199.6,0.0,1
8.67,3,55.89,0.0,1
11.4,2,27.98,0.0,1
12.2,2,56.16,0.0,1
12.07,2,154.41,0.0,1
11.43,2,53.98,0.0,1
11.67,2,183.19,0.0,1
9.47,2,24.58,0.0,1
12.5,2,40.97,0.0454841,1
13.03,2,87.42,0.0,1
15.63,2,55.02,0.0,1
11.23,4,221.32,0.028855900000000007,1
14.33,2,202.98,0.0765433,1
9.53,2,71.53,0.0,1
15.13,3,82.58,0.0,1
13.1,2,337.96,0.0,1
8.87,2,29.98,0.0,1
13.43,2,32.34,0.0,1
16.8,2,93.74,0.0,1
15.33,2,209.89,0.0,1
12.9,2,21.61,0.0,1
9.63,2,108.89,0.0,1
9.73,2,57.98,0.0,1
11.07,2,44.54,0.02386215,1
16.63,2,239.97,0.0,1
12.47,3,136.64,0.0041895000000000005,1
12.13,2,106.98,0.0,1
15.6,2,56.98,0.0,1
16.23,2,31.98,0.0,1
16.8,2,24.11,0.0,1
12.7,2,29.98,0.0,1
16.4,2,28.1,0.0,1
10.37,2,43.94,0.0,1
16.6,2,37.48,0.0,1
11.07,3,169.96,0.0,1
13.37,2,55.98,0.0,1
9.17,2,49.83,0.0,1
10.87,2,32.75,0.0,1
11.3,3,191.94,0.01587773333,1
16.3,2,140.31,0.0145489,1
16.27,2,75.16,0.0,1
7.97,2,25.9,0.0,1
14.13,2,51.97,0.0,1
10.57,2,294.96,0.0,1
15.03,2,117.25,0.0,1
11.67,2,32.98,0.0,1
14.1,3,216.71,0.0,1
10.7,2,59.98,0.0833565,1
9.53,2,73.27,0.033594599999999995,1
12.07,2,52.98,0.0,1
10.0,3,54.89,0.0,1
12.77,2,33.96,0.0,1
16.47,2,29.08,0.0,1
11.0,2,46.23,0.0,1
11.1,2,83.28,0.0,1
15.03,2,78.52,0.0,1
14.4,2,200.82,0.04397485,1
14.57,3,350.87,0.01586843333,1
14.6,2,31.46,0.0,1
10.67,2,103.76,0.0,1
13.63,2,47.77,0.0,1
11.23,2,10.98,0.0,1
13.6,2,71.09,0.0,1
15.13,3,292.35,0.06667226667000001,1
10.17,2,19.98,0.0,1
11.7,4,150.69,0.0,1
14.43,2,58.7,0.0,1
8.57,2,59.81,0.0,1
9.63,2,112.71,0.0,1
15.3,3,450.77,0.09091973333,1
9.37,2,45.44,0.0,1
13.07,2,230.72,0.0,1
10.33,2,29.98,0.0,1
12.87,2,172.49,0.0,1
16.67,2,279.98,0.0,1
12.7,2,39.66,0.0,1
16.53,2,117.24,0.0,1
